testnames <- c('2700_CFU', '210_CFU', '15_CFU')
Time,test1,test1.D,test2,test2.D,test3,test3.D
0,396,1,145,0.2,3,0.1
0,240,1,41,0.2,77,0.1
0,354,1,83,0.2,18,0.1
0,325,1,71,0.2,9,0.1
24,4,1000000,12,100000,13,100000
24,23,100000,19,100000,9,100000
24,7,1000000,5,100000,15,100000
24,3,1000000,2,1000000,15,100000
72,29,100000,3,1000000,7,1000000
72,19,100000,9,1000000,10,1000000
72,23,100000,18,1000000,6,1000000
72,18,100000,11,1000000,27,1000000
120,14,1000000,8,1000000,10,1000000
120,3,10000000,17,1000000,5,1000000
120,17,1000000,8,1000000,15,1000000
120,5,10000000,30,1000000,2,1000000
